,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,,,,,,
1,.Congregation BSZ Inc.,48-32-12,862626128,NFP,MONSEY,NY
2,".NO - Art From Elsewhere, Inc.",44-18-72,274184914,NFP,BROOKLYN,
3,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
4,"""Tiwimuta"" Inc.",42-21-31,262541693,NFP,BROOKLYN,NY
5,"""We Are Many"" Foundation Inc.",43-50-81,451151323,NFP,HAUPPAUGE,NY
6,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
7,(D.A.S.H. Ministries Inc.) Daughters Achieving Spiritual Honor,44-00-22,461955332,NFP,BRONX,NY
8,"(Rev.) Dwyer, John F. Estate a/k/a John F. Dwyer",48-15-01,NO DATA AVAILABLE,Estates,NO DATA AVAILABLE,
9,#Cancerland,46-36-65,472293681,NFP,YONKERS,NY
10,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
11,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
12,"+CAUSE: CLIMATE, INC.",48-29-10,861419273,NFP,PEARL RIVER,NY
13,1 CLUB COLOMBIA CARIBE INTERNATIONAL,15-79-51,NO DATA AVAILABLE,NFP,QUEENS,NY
14,1 in 9 The Long Island Breast Cancer Action Coalition,05-26-54,113195645,NFP,BALDWIN,NY
15,"1 Percent for the Planet, Inc.",45-94-16,912151932,NFP,BURLINGTON,VT
